TCGA-21-5787-01,TCGA-34-2596-01,TCGA-34-5231-01,TCGA-37-4141-01,TCGA-39-5031-01,TCGA-43-A475-01,TCGA-63-5128-01,TCGA-68-A59J-01,TCGA-77-A5G3-01,TCGA-90-A4ED-01,TCGA-98-A53B-01
-0.855,2.43,4.0378,-1.5144,-0.8253,-0.2363,-0.5894,-0.8123,0.2302,-1.5144,-1.5144
-1.8321,0.5353,-1.8321,-0.8884,-1.8321,-1.8321,-0.4279,-1.8321,0.1504,-1.8321,-0.6456
-1.1929,-0.1463,-0.8159,2.7432,0.4672,-1.1929,-0.6396,0.1029,2.2742,2.5537,-0.7877
1.184,1.8812,0.2531,-1.0479,0.4011,-0.1725,0.0181,0.6039,3.2937,-0.9929,-1.4947
-1.4374,0.4612,0.9239,-0.2966,-0.5281,-0.1901,1.5641,2.1803,0.2361,2.9549,-0.3914
-3.2612,-1.6362,-0.385,-0.2305,-0.0062,1.465,0.7186,0.1288,1.6191,1.8482,0.1278
-0.6509,2.9373,-0.8744,1.9912,0.8622,-2.2542,0.4921,-1.7426,-0.7184,1.3308,-0.9429
-1.1266,-0.1839,0.3924,2.0507,0.4801,1.591,0.0903,-2.033,1.3284,2.9699,0.9766
-0.5495,0.3795,-2.0714,2.9987,-0.4974,-2.0714,-2.0714,1.1911,-1.4713,-0.0524,-0.9932
-0.7346,-1.8597,1.3709,-1.8597,-0.684,1.0585,-1.8597,-1.8597,-0.5766,-1.8597,-1.8597
-0.8784,1.2999,-2.4745,-2.4745,-2.4745,-2.4745,-2.4745,-2.4745,-2.4745,-2.4745,-0.5828
-1.7285,1.4862,-1.568,0.6721,1.7232,-1.7285,0.5641,0.6039,-0.0193,3.8956,0.4731
-1.4651,-0.2478,2.9824,2.5896,-0.565,0.7399,-1.4651,-0.1262,-0.0713,1.4894,1.209
1.2355,-2.0147,-1.8152,1.7283,-0.5289,1.7634,0.9066,0.0519,-0.9337,0.3609,0.407
2.3354,1.6523,0.7138,-1.4807,1.5326,1.6308,-0.6429,-0.1017,0.7897,-0.8956,-3.3229
-1.605,-1.605,1.5545,-1.605,1.214,-1.605,-1.605,0.5599,-1.605,-0.1467,-1.605
1.2053,1.1588,-0.427,-1.2778,-0.9906,0.5352,-0.3956,0.2236,-0.5316,4.0412,0.4745
-1.8666,-1.8666,-1.1297,-1.8666,0.7524,-1.8666,-1.8666,0.1136,-1.8666,0.7491,-1.8666
-1.1291,-0.6264,-0.6316,1.2693,-2.098,0.4016,-0.7914,-1.811,-2.0065,0.4173,0.5107
2.1486,-0.5122,2.0962,1.7931,1.1334,0.0293,-1.0624,1.9761,0.848,-1.5172,1.2361
-0.8139,-2.1401,-2.1401,0.8616,-2.1401,1.2999,-2.1401,-2.1401,-2.1401,-2.1401,2.8555
2.375,-0.2422,1.5488,-0.9564,0.2042,0.6593,1.8038,-0.3526,-0.2416,4.2733,-0.4525
-1.7069,0.2875,-0.2338,0.2019,-0.8255,0.9397,0.2966,-1.7069,-1.7069,-1.7069,3.1043
3.4486,-0.2541,-0.9092,-0.3991,1.7842,0.014,-0.6576,-0.5275,-0.8032,0.2563,1.6824
