TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
-0.0496,-2.6409,-2.6409,0.7822,-1.8998
1.4289,-0.3362,-1.0457,-1.398,-2.7679
1.6117,3.3377,1.1499,-0.4426,-1.2489
-2.0662,0.0685,-1.1308,-2.6511,-1.9942
-1.6656,1.5137,0.7059,-1.6656,0.9397
2.5298,-0.1239,-0.6611,0.3757,2.0093
0.9443,-2.094,2.2695,-2.3429,0.7636
-0.6694,-1.5908,-0.8009,2.0878,2.3125
-1.7737,-0.1396,-0.4813,4.9931,-1.7737
-0.5582,-3.7125,-1.5889,-0.3292,-3.016
-1.7874,-1.7874,0.9014,2.2577,-1.7874
0.4627,2.5779,0.9472,4.1058,0.4054
-0.0485,-1.6911,-0.0131,1.1067,-4.292
-1.6178,-1.6178,-0.7438,3.4941,-1.6178
1.0966,1.6411,-0.2271,-0.7816,-2.3818
-1.5687,1.9409,-0.1398,4.5244,-0.8737
2.7999,0.9679,2.2603,0.5304,-0.8632
-0.8371,-1.5553,-3.8996,-1.1526,-1.8106
-0.0662,1.116,-2.6207,-0.1032,0.6409
2.9744,0.8591,0.1496,1.5069,-0.9967
-0.9655,-0.4275,-2.1838,2.3763,1.4714
1.0209,2.1971,1.4925,3.1055,1.9155
0.7731,2.669,-0.6258,2.9524,3.2797
2.0715,1.2787,-1.7953,-1.7953,-0.3313
0.3254,2.0498,-1.576,3.3295,1.0833
-1.2609,-1.2179,3.1253,1.7212,1.4105
-0.3692,-1.6864,-3.8395,-0.2422,-0.0214
-2.5693,-1.7796,-0.0082,0.6486,-1.3351
2.1221,0.0396,0.5177,2.9924,0.7974
1.2248,0.4214,-2.569,-2.3748,-1.9008
-0.3733,-3.3606,-3.1384,0.2521,0.1024
-1.6493,-0.9505,1.6518,2.3353,0.7819
0.4579,1.1638,-2.6694,-1.0465,1.5587
0.3528,1.824,0.8783,5.379,2.788
0.4574,0.935,-2.8734,0.2528,1.0262
0.421,-3.28,-0.591,1.6857,-1.7702
2.296,-0.4672,1.3157,0.1571,-3.4197
0.7517,1.7068,1.7815,-0.1139,-2.0174
-0.6135,-2.5143,2.1336,-1.5556,-1.704
-0.7483,-0.026,-0.8709,4.6811,0.3271
0.3141,0.6612,-3.3967,-2.4177,-0.8736
-1.5121,-1.5121,-0.2387,0.3125,3.2331
0.4022,-1.8244,1.0755,2.3563,-1.3257
1.0291,-1.6885,-0.1203,3.5453,-1.6885
-0.252,2.2019,-1.7275,3.1717,-1.6849
0.7713,0.8407,-0.8095,-3.2943,-1.6331
-2.0405,-0.1644,-2.0405,0.7151,-2.0405
1.1677,-1.3431,-0.2213,4.6428,-1.3431
0.157,0.1978,1.2839,3.1281,-1.6828
1.6602,-0.4385,-0.1462,1.8432,-3.5109
-0.7558,0.5665,0.7384,-2.8527,-3.6751
-1.4115,0.2011,-1.4115,4.3575,-0.2553
0.9189,1.1919,-1.4287,3.453,-0.4266
-1.634,1.2904,1.035,3.9466,0.2296
-0.1538,-4.1748,-1.3892,1.2813,0.5223
0.9339,-3.5767,1.3569,0.0718,-1.4724
-0.0752,0.9264,2.9119,-0.2829,-0.9855
0.3759,3.346,0.7229,4.4607,2.3437
2.1288,3.1716,-0.1733,3.4002,1.036
-2.1303,-2.1303,-0.7076,1.5484,0.9121
0.5853,-1.7362,-0.6279,2.3112,-1.7362
-1.1276,1.9374,0.2099,1.7764,-1.7468
0.3867,3.0999,0.343,2.5299,0.1568
-0.4439,-0.4837,-3.3827,-0.6771,-2.1138
1.0827,2.2777,-0.5163,0.3803,2.3357
-1.5581,1.4182,-1.5581,-1.4424,0.7094
1.2112,0.576,0.8431,-2.4995,2.4181
-0.2575,-3.1562,0.0463,-0.5626,-3.1562
0.9407,-3.0084,-0.588,2.6489,2.7125
0.0924,0.303,3.1894,2.411,1.6276
0.6853,1.4645,3.0166,2.8416,3.4769
-0.7651,1.4927,2.3851,1.7047,4.2802
-0.5684,-1.6286,2.8293,3.959,4.107
1.0948,-0.3807,0.24,3.5542,-1.3065
1.7053,-2.1649,-2.4561,3.1151,0.3241
0.5011,-2.0766,-4.2166,-1.9526,-2.8159
-1.7221,-1.7221,1.8915,-1.7221,-0.5127
-0.5008,-3.6715,-0.7434,0.8413,-0.874
0.576,-0.8508,-4.8234,0.5497,0.3849
-0.4142,0.7125,1.6943,3.1397,2.9153
1.1046,2.3315,-1.2607,0.0182,1.9073
0.5702,-3.2281,0.0514,2.0159,-0.1479
-1.5672,1.5098,0.0301,0.5664,-2.3285
1.6183,-0.0795,2.0673,-0.4086,2.2179
-1.0834,2.7337,0.574,0.0856,-2.305
-0.542,-0.3918,0.6688,2.2214,-2.3769
2.7366,-0.625,-1.2638,1.9308,-0.3209
3.2409,-0.4719,-1.6815,2.121,-0.1198
3.1773,0.0062,3.7751,0.5258,-0.0959
2.757,-0.0252,1.899,1.2019,-0.1381
2.7766,0.4062,1.0454,-0.7111,-1.2282
-1.1399,2.4521,-2.8164,-0.5039,-1.1832
-0.5682,1.1964,0.8085,3.502,-1.1724
0.3998,2.7185,-0.6303,3.3066,0.7737
-1.0085,-1.9105,0.164,-3.357,-1.6589
0.3191,1.3749,-0.6299,-2.3896,-3.1577
0.1992,4.9516,3.1345,-0.9192,-1.6407
0.1012,-2.7279,-7.4183,0.0351,-2.9039
0.6724,2.2337,-1.4614,2.5699,-0.3178
-0.5298,-1.1942,-0.5165,-3.6042,-1.1734
-0.6775,-1.6197,0.3986,2.6935,1.2985
-0.9139,1.2371,-0.3312,3.6822,-1.2453
-0.4103,-0.3639,-1.4099,0.4587,3.2197
-0.7214,-1.3274,-3.5429,0.6904,0.5375
1.0763,0.6741,1.2162,2.9238,3.3067
-1.3388,0.5291,-2.0933,1.7332,1.1565
